#{"t_start": 1774434845.6950881, "env_id": "None"}
r,l,t
-25.0,100,309.948154
-35.0,100,310.520331
-15.0,100,311.086808
-61.0,100,311.663217
-24.0,100,312.246319
-29.0,100,312.819632
-6.0,100,313.386226
-13.0,100,313.9624
-4.0,100,314.674164
-15.0,100,315.327986
-11.0,100,315.941709
-27.0,100,316.567722
-12.0,100,317.138189
-27.0,100,317.712559
-7.0,100,318.329187
-6.0,100,318.906639
-10.0,100,319.52527
-14.0,100,320.123592
-27.0,100,320.751256
-20.0,100,321.328253
-13.0,100,321.896597
-4.0,100,322.46972
-6.0,100,323.057674
-13.0,100,323.687737
-19.0,100,326.595577
-16.0,100,327.200296
-4.0,100,327.85855
-21.0,100,328.687741
-4.0,100,329.360742
-12.0,100,330.086799
-21.0,100,330.812683
-15.0,100,331.540516
-15.0,100,332.143047
-16.0,100,332.786236
-32.0,100,333.368233
-13.0,100,333.964661
-12.0,100,334.552336
-19.0,100,335.175299
-45.0,100,335.843709
-12.0,100,336.44133
-31.0,100,337.028352
-6.0,100,337.610261
-25.0,100,338.194471
-28.0,100,338.782836
-18.0,100,339.381498
-27.0,100,339.999618
-10.0,100,340.578735
-15.0,100,341.161332
-6.0,100,341.888572
-27.0,100,342.471337
-10.0,100,343.056063
-26.0,100,343.63446
-10.0,100,344.225777
-21.0,100,344.806537
-22.0,100,345.410967
-6.0,100,346.125673
-13.0,100,346.785592
-24.0,100,347.440013
-10.0,100,348.091826
-24.0,100,348.747043
-14.0,100,349.369544
-21.0,100,350.030403
-16.0,100,350.697096
-8.0,100,351.368898
-22.0,100,352.043655
-4.0,100,352.680001
-9.0,100,353.261136
-11.0,100,353.848239
-7.0,100,354.43386
-26.0,100,355.031352
-27.0,100,355.613716
-13.0,100,356.195741
-29.0,100,356.791451
-10.0,100,357.375191
-20.0,100,360.397098
-12.0,100,361.068775
-11.0,100,361.745873
-22.0,100,362.392829
-16.0,100,362.993415
-29.0,100,363.583817
-5.0,100,364.174545
-14.0,100,364.756861
-22.0,100,365.348667
-19.0,100,365.939374
-30.0,100,366.526769
-22.0,100,367.10929
-11.0,100,367.693055
-23.0,100,368.274101
-26.0,100,368.858762
-18.0,100,369.521404
-3.0,100,370.273581
-14.0,100,370.89832
-16.0,100,371.498118
-27.0,100,372.094515
-13.0,100,372.679932
-14.0,100,373.318247
-16.0,100,374.076784
-12.0,100,374.819818
-20.0,100,375.498879
-14.0,100,376.16462
-16.0,100,376.875369
-20.0,100,377.569543
-23.0,100,378.254126
-5.0,100,379.080179
-13.0,100,379.789913
-42.0,100,380.508434
-14.0,100,381.240984
-9.0,100,382.030643
-14.0,100,382.660819
-11.0,100,383.247413
-6.0,100,383.835623
-6.0,100,384.438033
-27.0,100,385.039437
-16.0,100,385.683281
-17.0,100,386.350496
-6.0,100,387.04399
-19.0,100,387.704261
-18.0,100,388.3145
-41.0,100,388.912416
-15.0,100,389.505754
-4.0,100,390.101161
-21.0,100,390.695738
-6.0,100,391.284964
-45.0,100,391.870972
-19.0,100,394.793265
-14.0,100,395.481697
-27.0,100,396.183303
-4.0,100,396.765387
-18.0,100,397.352013
-17.0,100,397.947114
-9.0,100,398.544563
-6.0,100,399.133722
-51.0,100,399.77669
-14.0,100,400.378964
-12.0,100,400.965613
-13.0,100,401.699576
-6.0,100,402.420567
-90.0,100,403.018898
-4.0,100,403.619999
-18.0,100,404.248433
-4.0,100,404.832816
-10.0,100,405.426918
-16.0,100,406.037415
-6.0,100,406.692644
-7.0,100,407.278059
-7.0,100,407.881463
-24.0,100,408.46629
-23.0,100,409.05273
-20.0,100,409.648463
-23.0,100,410.241145
-14.0,100,410.889165
-25.0,100,411.477448
-16.0,100,412.073255
-9.0,100,412.661409
-13.0,100,413.253986
-19.0,100,413.852541
-5.0,100,414.444495
-3.0,100,415.088291
-16.0,100,415.842055
-6.0,100,416.544112
-6.0,100,417.211528
-11.0,100,417.871025
-23.0,100,418.522758
-27.0,100,419.153335
-43.0,100,419.741111
-21.0,100,420.337576
-9.0,100,420.938329
-23.0,100,421.522783
-16.0,100,422.235302
-35.0,100,422.841092
-26.0,100,423.424344
-12.0,100,424.006963
-14.0,100,424.604051
-13.0,100,425.208787
-8.0,100,428.051215
-22.0,100,428.668832
-20.0,100,429.285897
-14.0,100,429.887178
-24.0,100,430.476942
-8.0,100,431.06213
-8.0,100,431.654833
-5.0,100,432.241741
-14.0,100,432.856023
-15.0,100,433.621491
-12.0,100,434.379869
-18.0,100,435.070433
-18.0,100,435.733723
-42.0,100,436.355585
-3.0,100,437.060731
-15.0,100,437.812457
-13.0,100,438.523492
-20.0,100,439.318925
-29.0,100,440.045645
-3.0,100,440.830424
-12.0,100,441.720792
-23.0,100,442.451379
-3.0,100,443.339845
-10.0,100,444.234745
-19.0,100,445.006376
-8.0,100,445.819197
-9.0,100,446.610826
-9.0,100,447.315489
-24.0,100,448.004241
-25.0,100,448.75028
-5.0,100,449.440253
-13.0,100,450.12465
-7.0,100,450.844136
-21.0,100,451.622471
-10.0,100,452.354994
-17.0,100,453.014203
-22.0,100,453.632118
-23.0,100,454.243612
-23.0,100,454.861161
-19.0,100,455.47827
-4.0,100,456.101158
-11.0,100,456.805152
-4.0,100,457.459679
-15.0,100,458.056656
-24.0,100,458.654766
-24.0,100,459.274009
-9.0,100,459.909738
-13.0,100,460.58953
-17.0,100,461.254553
-4.0,100,461.952357
-10.0,100,465.618569
-4.0,100,466.352831
-12.0,100,467.103743
-27.0,100,467.763796
-13.0,100,468.41023
-13.0,100,469.093739
-23.0,100,469.876337
-11.0,100,470.666746
-13.0,100,471.354195
-5.0,100,472.165311
-7.0,100,472.897384
-6.0,100,473.662306
